,UMAP-x,UMAP-y,Player,Player-short,Color,file,KDE,fast,slow
2677,-7.4096355,0.51286864,ToraThePotato,ToraT,#FDF5E6,ToraThePotato - 165011658.osr,6.069763279319488e+51,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBQYAHcQFAN93JwAEAQQEAP/7+gDDuTMAlZ2aAAAnfI7//eck/0QBVP9EAVT/Agc27gAirGcAAgoKAAAAAAD3ABVkrm5oSgAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAPElEQVR4nGN0YQz5z8DAwMDMx8fAwMDAwMQABYyC/AwMzMwMLDCBz7NYGHbr7IIKMDEzHNJdz+CYmMkAAMubB8pGCEv9AAAAAElFTkSuQmCC
2678,6.607763,-5.4034367,Toshinou Kyoko,Toshi,#98FB98,Toshinou Kyoko - 143596957.osr,5.013116530461438e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8AAAAATtXsAC0I4wAC7rMlAAD//wCekEwAhiY0AARlI8QAZubmAEcaAAABCAgAAqV1TABJJTsA2pw0AP74+ADK5hWAUzuRxQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/ACd9jv9EAVT//eck/0QCVf8BRQVY///8/AABBAQA//z8AAKP3MIAAAEBAN2FNQAAAAAAAUcYav/96usAAQMDAP/8/ADiYhtlTgXIbgAAAABJRU5ErkJggg==
2679,7.49964,-5.725319,Toshinou Kyoko,Toshi,#98FB98,Toshinou Kyoko - 143863158.osr,6.348416311049648e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8EHRwA4JAPANU5pQAC+rsfAPzj5AAZlAcASzdMAATh1xgA3uaxAEcaAAD9BQYAAimN5gBJJDoAid/JAP/7+gAR6hhA3SDHsQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/ASl5jv8cj80AWNHfAKcoGgABSCJz//zf4QAAAgMAAP79AAK1xbEAAAEBANqbMQAAAQEAAUQDV/8A/v0AAggIAP74+ABPshejQHysZQAAAABJRU5ErkJggg==
2680,9.374323,2.988639,Touhou Project,Touho,#6A5ACD,Touhou Project - 156966614.osr,2.247437952546213e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA7rQmABKCBwACAgoKAAAAAACTKqcABOzzAAH95yT/cOc0ANpDCwAA/v8ABEs1SgAABwYA/fDgAAAAAABh/hK8Hr257QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AEcVZ/9HJ3f/1OEa/0BEh/8CAPz8AAH6+wBKvW4A9RgFAATloBoA/MkRACOj+AC8ppgAAgmrDwD2HfwAT5W9AAAAAAD1NxqcCKIE/AAAAABJRU5ErkJggg==
2681,-4.0774407,0.4338864,Touhou Project,Touho,#6A5ACD,Touhou Project - 161197791.osr,2.255362630860036e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASUlEQVR4nGN0YQz5z8DAwMCkp8HA+PIdAxMDFGzYvpiB4fsPBiYWaSmGnc8uMPjJWjD8/fSJgen/5y8MXtqODAz//jIwMDAwAABNjxOMb/+TDwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASUlEQVR4nAXBsRFAQBCG0W9/G11kCIxOyK8EMqrTg0ADQq1cAXez3rNsWwCYO1ErUkqgDo0DAIrW8Hni/h7KuWJZewCUY6G/Xn70pxBrD2aPCgAAAABJRU5ErkJggg==
2682,-7.364972,0.47433174,Track917,Track,#BDB76B,Track917 - 168021467.osr,6.371259261883066e+51,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwGBx8TfD4VJLBhYGKFiy15Zh7cyJDAyqTX3//z5X+e/CGPLfhTHkPxOfyWsGxS2pDAyMjAwMDAwMAKnoE16AzrC4AAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARElEQVR4nC3BsRGAIBBFwffvSAgYbYMuDCzBDhz6ogfCa0xNMGFXp64JYKUAkFhs35jPS0JC7nxdRA1M7ihnog6Ou/EDOagKzSA3DJ0AAAAASUVORK5CYII=
2683,-1.4039531,2.4812262,Track917,Track,#BDB76B,Track917 - 168396285.osr,8.112064703607585e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARElEQVR4nGN0YQz5z8DAwFB85ypDS3EiAwsDFJROSWW4OH0aA6P85O7/k70WMkxS0WBgYGRkYFrtO5kh91gURNn//wwAY3sSOfDC6BAAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8DExIA+S8gAAfo9AACAgwMAP3s7QAGyNgA+xIKAAICDAsAAQcHAPVFKwC7qZ8AAv/4+QACHhsAs5SRAEFiZQChTxQ9aKUW6gAAAABJRU5ErkJggg==
2684,14.008807,8.507693,trollocat,troll,#808080,trollocat - 155586916.osr,2.5627283563390103e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/8vB4ABlHvAPY/KQAEAQUGAARE4gBc2eMAqegLAAL//f0AAjAqAKInHQD3/AUAAf3nJP9j4jwA5kL+AP729gAyoxrQs8iTYAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcRY//+IxwAANLbAAIPDQACAREQAAPu9AADFhQAttK9AAT+7O4AAQEBAP3y8gBBYWQAAgD+/gCv170AAysnAPYWBQDMeRWsOJec2gAAAABJRU5ErkJggg==
2685,13.925936,7.6605864,trollocat,troll,#808080,trollocat - 166238958.osr,2.247438220644341e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/7RjQACMvdAP3v7wACAg0NAAW6zACGzrgAATUtAAFFBVj///z8AAAAAADgqS4AAvVNMwC55tAAAQQEACBX0gBHgxc6PNvi7QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/3UDYACrTOAAIgHQACAQcHABRy3wCx4ccALavfAAQA/f0A1sAkAE4+NQC55tAAAvFVNADRY5IAAg0NACqWagDsaxXYynaiAAAAAABJRU5ErkJggg==
2686,-3.459754,2.738062,trxhbii,trxhb,#DEB887,trxhbii - 143102309.osr,2.9204897420540796e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAP0lEQVR4nGN0YQz5z8DAwPB1hxIDb+hrBiYGKGDtF2LYfvMwAxOjoTbD8w2aDGw7zzC4SxkwsLxu+s3AyoAAABlwDl3JD6/BAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUUIW/8BAwMAACQeAALq7wACAQQEAAAAAAAC6u8A/CAXAAQBHxsAAO3wANeJGwDeRZ4AAv/g5AD/FRIAu0CSADR9aQAh6RLQbW1XaAAAAABJRU5ErkJggg==
