,UMAP-x,UMAP-y,Player,Player-short,Color,file,fast,slow
515,0.99077153,-1.7659482,Chiyuki_Yuno,Chiyu,#FFE4E1,Chiyuki_Yuno - 141832389.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAAw4OAN6cHwACAQcHAAAAAAC22MIAI3HtAATuWTIAAvz/AEcaAAD5ugYAAhTG6gD1GAIA25U3AAdH4QAnxxJzxBhc6gAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAgMABBYUAP7z9AACAAIDAAD+/QD97/AAAQYGAAT8QTAAAAAAAPVz8QBtI78ABAbI2AAAIx0AvTCsADh1aACKlhNOsE2ksAAAAABJRU5ErkJggg==
516,0.99236345,-1.7976798,Chiyuki_Yuno,Chiyu,#FFE4E1,Chiyuki_Yuno - 151665299.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMDEzc1wt1qPgYUBCj6skWBQ9D7FwPTTy5SBRUaagc/rHsPOJ2cZWLgvP2f4qSLO8GMOO4O7NAMDAOw1EHUNjQYCAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAATUlEQVR4nGN0YQz5z8TNzcDw/z8DEx8vAwsDEzMDAxMTAyMjIwMDMzMDy187fYbP4mwMr8wYGDSMHzIwsb75xvCfiYHhTuQMhvs7FRkApZYPLW8KYtMAAAAASUVORK5CYII=
517,3.214893,4.8832855,Chococoa49sg,Choco,#00FA9A,Chococoa49sg - 167675888.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BMysASKLFAJK8SAABRAFU/wAAAAAHwRgAsiW4AALvtSUAreTIAPk/6ABHGzEAAmIhxgBH1FoA/zkvAAD//wDMbxZCy/JqBQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAQEAPdH3AJ7POgACAAAAAAD//wC45ioA3kWeAAGa2Dz/xvEkAOdNCQABBAMAAoW+TwAeCe4AAQwKAP709QDuUBZGcxCWgAAAAABJRU5ErkJggg==
518,3.5705724,4.6652656,Chococoa49sg,Choco,#00FA9A,Chococoa49sg - 168298419.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBQYArt/EAC2rbgABRAFU/wAAAAADvxoArCWwAAHf4xj/HgQMAEcaMAABBQYAAqnyLwA40FQAAxQTAP/7+gB+dRMe88bJ6gAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AEQBVP9EA1f/1OEa/y5sjv8EAAAAAAD+/QBUmnQApXSPAAGG1En/q5JEABTO8gD8DgcAArV8QQDMgZcA/A0HAOoxCACiDhnIcKVYxgAAAABJRU5ErkJggg==
519,5.2749023,5.845452,ChocoPafe,Choco,#FFA07A,ChocoPafe - 145112860.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DIyPAq05JB8NZPBiYGBgYGhv//GRgYGRheZPxkYGHWVGXYtnc1g7sUAwPDVAYGpgk7FjBozMlkgAEAWcIP1iJqhmUAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUUFWP///PwA9bgiAO7EGAAEAAAAAAABAQAEkxMA1puWAAE7UIr/Af4AAOsvBAD5E/4ABP4FAQDrLwIA+hf7AAL0AwAkRBZPtDMsXwAAAABJRU5ErkJggg==
520,6.1997943,5.044257,ChocoPafe,Choco,#FFA07A,ChocoPafe - 163226865.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AEQBVP9GCVz/yuAe/0Q5gv8BRAFU/wAAAAD9QDIAvKaeAAF+0k7/CgP5ALwsDQAAAAAAAgAAAAAKAvoAAggIAAAAAAA39BLDGnY/jgAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwLD2yQkG98J8BhYGKPBLymE4umAmA9PzDZoMzCqKDD/5mRksLwYzsMhmf2S40SnOYKp4m+FpryoDAE+HEmdFsI74AAAAAElFTkSuQmCC
521,3.6622612,0.2482725,cholarmor,chola,#FFF8DC,cholarmor - 166998479.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAATUlEQVR4nGN0YQz5z6ymzPBuAiMD6xxhBkYXxpD/DAwMDGufnGDgYeJgYLG99INh3n4HhmAZBgYGJmYGpm1tDgxMvxkYmLXUGBgYGBgARHQPC+LyOAUAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwPB8gyaD2AROBiYGKODl+Mnw2IWdgenfXlmGnc8uMLAx/2Vg/MfAwMSWwsSQ+MiW4eFNCQaWr4wMAB2FEU95CljJAAAAAElFTkSuQmCC
522,13.012976,4.5055237,cholarmor,chola,#FFF8DC,cholarmor - 167854637.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BNCwA3FgMABy+/QACAAAAAP/M1AAO3QEAhZSZAABDO4P//eck/0QBVP9FBlr/AVfGZf/sdB4AAAEAAAHG0QATERgtmp+qSAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQ0lEQVR4nGN0YQz5z8DAwMDEwcHAwMTEwMQABUzCQhCagZGRgYmLi+FGsRxD+sVLDCwM//8z/Pv2jeFuxAwGg/YsBgAOSg1AJASQJAAAAABJRU5ErkJggg==
523,-0.28222662,14.878334,ChoSeung,ChoSe,#F5FFFA,ChoSeung - 168480420.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcVZ/8AAwMAr861AAcBBQAE/akJAABD5AA8fG4AFbPaAAROGdEAMN7hAIY+GwD/EhAAAT9Fh/8G7/gAEJLnAO877gCx5xZvKJiWcAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/ATFkjf8WsNkAIrj1ANs1+QACFsPqAP3u7wDdPQEAAAIDAAK2wK0AAAAAAOZoMgACCwoAAUcRY///+PkAAhMSAPzn6QB2cRizuIKW0gAAAABJRU5ErkJggg==
524,10.047897,3.6498783,Choy Wu Goi,Choy ,#1E90FF,Choy Wu Goi - 137468226.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8CCwsAdNLIAGitZgACAAAAAP719QBqqGYA21yXAAEgkYz/f0isAKUoHAAAAgMAAfjmIf86z1kAE1HgAP/7+gAHGxiigMXA4gAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBAQAADAoAADR2gAEAggIAAEIBwD/+/0AAR8bAAQBDw4AAA8NAPeL9wDALLAABP7t7gAC/v8AdSLDACuUagAPMBKwvXxikgAAAABJRU5ErkJggg==
